player_id,Rank,Name,Team,Position,Tier,Expert Rank
7553,121,Kyle Pitts,ATL,TE,J,120.13
13364,122,Kaelon Black,SF,RB,J,121.88
1466,123,Travis Kelce,KC,TE,J,122.38
421,124,Matthew Stafford,LAR,QB,J,123.50
5947,125,Jakobi Meyers,JAX,WR,J,123.63
10219,126,Chris Rodriguez,JAX,RB,J,126.75
13267,127,Denzel Boston,CLE,WR,J,127.38
8134,128,Khalil Shakir,BUF,WR,J,128.63
8132,129,Tyler Allgeier,ARI,RB,J,131.88
12474,130,Woody Marks,HOU,RB,J,133.00
2025013,131,Tyler Shough,NO,QB,J,133.88
1479,132,Keenan Allen,IND,WR,J,134.13
8121,133,Romeo Doubs,NE,WR,J,134.25
13299,134,Caleb Douglas,MIA,WR,J,134.71
6804,135,Jordan Love,GB,QB,K,135.25
4892,136,Baker Mayfield,TB,QB,K,136.38
13262,137,Mike Washington Jr.,LV,RB,K,137.00
7002,138,Juwan Johnson,NO,TE,K,139.63
13243,139,Jonah Coleman,DEN,RB,K,139.88
5849,140,Kyler Murray,MIN,QB,K,141.75
5012,141,Mark Andrews,BAL,TE,K,144.00
6130,142,Devin Singletary,NYG,RB,K,144.75
8676,143,Rashid Shaheed,SEA,WR,K,146.38
8110,144,Jake Ferguson,DAL,TE,K,146.63
8161,145,Malik Willis,MIA,QB,K,147.25
9511,146,Keaton Mitchell,LAC,RB,K,149.00
13253,147,Emmett Johnson,KC,RB,K,151.25
9225,148,Tank Bigsby,PHI,RB,K,154.88
9480,149,Brenton Strange,JAX,TE,K,159.50
5001,150,Dalton Schultz,HOU,TE,K,159.88
11834,151,Devaughn Vele,NO,WR,K,161.14
9758,152,C.J. Stroud,HOU,QB,K,161.38
11370,153,Chris Brooks,GB,RB,K,163.00
10213,154,Tre Tucker,LV,WR,L,163.13
12530,155,Travis Hunter,JAX,WR,L,163.38
9486,156,Dontayvion Wicks,PHI,WR,L,164.38
9228,157,Bryce Young,CAR,QB,L,164.38
3214,158,Hunter Henry,NE,TE,L,164.50
11618,159,Jalen McMillan,TB,WR,L,165.00
9508,160,Tyjae Spears,TEN,RB,L,165.50
8154,161,Brian Robinson,ATL,RB,L,165.50
8210,162,Chig Okonkwo,WAS,TE,L,167.50
5870,163,Daniel Jones,IND,QB,L,167.75
5844,164,T.J. Hockenson,MIN,TE,L,169.00
13308,165,Kenyon Sadiq,NYJ,TE,L,170.13
13277,166,Omar Cooper Jr.,NYJ,WR,L,170.25
13305,167,De'Zhaun Stribling,SF,WR,L,171.40
9757,168,Kendre Miller,NO,RB,L,171.67
9504,169,Kayshon Boutte,HOU,WR,L,173.25
13275,170,Antonio Williams,WAS,WR,L,173.88
6931,171,DeeJay Dallas,MIN,RB,L,174.00
4035,172,Alvin Kamara,NO,RB,L,175.25
12522,173,Cam Ward,TEN,QB,L,176.25
10235,174,Roschon Johnson,CHI,RB,L,178.00
11576,175,Braelon Allen,NYJ,RB,L,178.25
9753,176,Zach Charbonnet,SEA,RB,L,178.38
12509,177,Tre Harris,LAC,WR,L,179.50
3257,178,Jacoby Brissett,ARI,QB,L,180.38
11603,179,AJ Barner,SEA,TE,L,183.13
8180,180,Jalen Nailor,LV,WR,L,183.25
11637,181,Keon Coleman,BUF,WR,L,184.00
11625,182,Adonai Mitchell,NYJ,WR,L,186.25
13273,183,Ja'Kobi Lane,BAL,WR,L,186.88
13269,184,Chris Bell,MIA,WR,L,187.13
96,185,Aaron Rodgers,PIT,QB,L,187.38
8205,186,Isiah Pacheco,DET,RB,L,189.00
12504,187,Kaleb Johnson,GB,RB,L,189.50
12493,188,Oronde Gadsden,LAC,TE,L,190.63
7600,189,Pat Freiermuth,PIT,TE,L,190.88
11610,190,Malik Washington,MIA,WR,L,191.43
7528,191,Najee Harris,NYG,RB,L,191.71
13245,192,Nicholas Singleton,TEN,RB,L,192.00
11575,193,Ray Davis,BUF,RB,L,192.13
13246,194,Kaytron Allen,WAS,RB,L,192.25
12487,195,Terrance Ferguson,LAR,TE,L,193.13
4177,196,Mack Hollins,NE,WR,L,193.50
7090,197,Darnell Mooney,NYG,WR,L,196.50
11783,198,Ryan Flournoy,DAL,WR,L,196.63
4943,199,Sam Darnold,SEA,QB,L,197.00
12469,200,Dylan Sampson,CLE,RB,L,197.38
13378,201,Cyrus Allen,KC,WR,L,198.14
9502,202,Tank Dell,HOU,WR,L,199.33
9482,203,Michael Mayer,LV,TE,L,200.00
9506,204,Sean Tucker,TB,RB,L,200.50
4981,205,Calvin Ridley,TEN,WR,L,201.43
13280,206,Malachi Fields,NYG,WR,L,201.75
11647,207,Kimani Vidal,LAC,RB,L,202.38
12492,208,Pat Bryant,DEN,WR,L,205.25
12502,209,Gunnar Helm,TEN,TE,L,205.50
13271,210,Germie Bernard,PIT,WR,L,205.75
1373,211,Geno Smith,NYJ,QB,L,206.25
6783,212,Jerry Jeudy,CLE,WR,L,206.50
8111,213,Cade Otton,TB,TE,L,206.88
4033,214,David Njoku,LAC,TE,L,207.00
13274,215,Zachariah Branch,ATL,WR,L,207.00
11655,216,Tyrone Tracy,NYG,RB,L,208.00
4147,217,Samaje Perine,CIN,RB,L,210.57
8172,218,Greg Dulcich,MIA,TE,L,211.25
7049,219,Jauan Jennings,MIN,WR,L,211.38
12535,220,Isaac TeSlaa,DET,WR,L,211.75
11627,221,Troy Franklin,DEN,WR,L,213.86
12455,222,Brashard Smith,KC,RB,L,216.67
12483,223,Jack Bech,LV,WR,L,216.88
13247,224,Demond Claiborne,MIN,RB,L,217.00
12048,225,George Holani,SEA,RB,L,217.67
11199,226,Emari Demercado,DAL,RB,L,218.00
13229,227,Fernando Mendoza,LV,QB,L,218.63
3634,228,Kalif Raymond,CHI,WR,L,218.75
12499,229,Elic Ayomanor,TEN,WR,L,220.33
13285,230,Ted Hurst,TB,WR,L,220.38
